LEVEL, XPREQUIRED
0, 0
1, 100
2, 113
3, 127
4, 144
5, 163
6, 184
7, 208
8, 235
9, 265
10, 300
11, 339
12, 383
13, 433
14, 489
15, 553
16, 625
17, 706
18, 798
19, 902
20, 1019
21, 1152
22, 1302
23, 1471
24, 1662
25, 1878
26, 2123
27, 2399
28, 2710
29, 3063
30, 3461
31, 3911
32, 4420
33, 4994
34, 5644
35, 6377
36, 7206
37, 8143
38, 9202
39, 10398
40, 11750
41, 13278
42, 15004
43, 16954
44, 19159
45, 21649
46, 24464
47, 27644
48, 31238
49, 35299
50, 39888
51, 45073
52, 50933
53, 57554
54, 65036
55, 73491
56, 83045
57, 93841
58, 106040
59, 119825
60, 135402
