LEVEL, KILLSNEEDED_LVL_30
1, 5
2, 9
3, 13
4, 18
5, 26
6, 38
7, 57
8, 84
9, 123
10, 176
11, 247
12, 339
13, 455
14, 599
15, 774
16, 985
17, 1236
18, 1530
19, 1873
20, 2267
21, 2718
22, 3231
23, 3809
24, 4457
25, 5179
26, 5981
27, 6868
28, 7843
29, 8911
30, 10078
31, 11348
32, 12726
33, 14217
34, 15826
35, 17558
36, 19417
37, 21408
38, 23537
39, 25809
40, 28227
41, 30798
42, 33527
43, 36417
44, 39475
45, 42705
46, 46113
47, 49702
48, 53479
49, 57449
50, 61615
51, 65984
52, 70561
53, 75350
54, 80356
55, 85585
56, 91041
57, 96730
58, 102656
59, 108825
60, 115242
