LEVEL, XPGAINED
0, 189
1, 200
2, 329
3, 417
4, 480
5, 528
6, 567
7, 600
8, 630
9, 658
10, 684
11, 710
12, 736
13, 761
14, 787
15, 812
16, 837
17, 862
18, 887
19, 912
20, 937
21, 962
22, 987
23, 1012
24, 1037
25, 1062
26, 1087
27, 1112
28, 1137
29, 1162
30, 1187
31, 1212
32, 1237
33, 1262
34, 1287
35, 1312
36, 1337
37, 1362
38, 1387
39, 1412
40, 1437
41, 1462
42, 1487
43, 1512
44, 1537
45, 1562
46, 1587
47, 1612
48, 1637
49, 1662
50, 1687
51, 1712
52, 1737
53, 1762
54, 1787
55, 1812
56, 1837
57, 1862
58, 1887
59, 1912
60, 1937
